LEAGUE,DATE,TIME,HOME,AWAY,TIP 1,PROB1,USCITO1,TIP 2,PROB2,USCITO12,TIP 3,PROB3,USCITO13,TIP 4,PROB4,USCITO14
POR1,13/02/2021,19:00,Guimaraes,Rio Ave,OV 0.5 HT ,0.7569,,UN 1.5 HT,0.8125,,UN 2.5 FT,0.7569,,NG FT,0.7083
POR1,13/02/2021,21:30,FC Porto,Boavista,OV 0.5 HT ,0.7778
POR2,13/02/2021,16:00,Arouca,Varzim,UN 1.5 HT,0.8333
POR2,13/02/2021,18:00,Covilha,Vizela,GG FT,0.8056
SCO1,13/02/2021,16:00,Aberdeen,St. Mirren,OV 0.5 HT ,0.7005,,UN 1.5 HT,0.7445
SCO1,13/02/2021,16:00,Motherwell,Hamilton,OV 0.5 HT ,0.7212
SCO1,13/02/2021,16:00,Rangers,Kilmarnock,NG FT,0.8544
SCO2,13/02/2021,16:00,Alloa Athletic,Arbroath,OV 0.5 HT ,0.7232
TUR1,13/02/2021,11:30,Kayserispor,Ankaragucu,UN 1.5 HT,0.7727
TUR1,13/02/2021,14:00,Trabzonspor,Gaziantep,OV 0.5 HT ,0.8636,,UN 1.5 HT,0.7727
TUR2,13/02/2021,11:30,Bandirmaspor,Istanbulspor,OV 0.5 HT ,0.8389,,UN 1.5 HT,0.8389
TUR2,13/02/2021,11:30,Umraniyespor,Eskisehirspor,UN 1.5 HT,0.7833
TUR2,13/02/2021,14:00,Akhisarspor,Samsunspor,UN 1.5 HT,0.7778
