LEAGUE;DATE;TIME;HOME;AWAY;TIP 1;PROB1;USCITO1;TIP 2;PROB2;USCITO12;TIP 3;PROB3;USCITO13;TIP 4;PROB4;USCITO14
ESP2;19/01/2021;19:00;Mirandes;Rayo Vallecano;UN 1.5 HT;0.9; ;UN 2.5 FT;0.8;x;NG FT;0.7;x;;;
ITA2;19/01/2021;19:00;Vicenza;Chievo;UN 1.5 HT;0.8125;x;;0;;;;;;;
TUR1;19/01/2021;14:00;Goztepe;Genclerbirligi;OV 0.5 HT ;0.7222;x;UN 1.5 HT;0.7222; ;;;;;;
TUR1;19/01/2021;14:00;Kayserispor;Basaksehir;OV 0.5 HT ;0.7222;x;UN 1.5 HT;0.7222;x;;;;;;
TUR1;19/01/2021;17:00;Trabzonspor;Konyaspor;OV 0.5 HT ;0.7222;x;UN 1.5 HT;0.7778;x;;;;;;
BEL1;20/01/2021;18:45;Eupen;Beerschot-Wil.;OV 0.5 HT ;0.95;x;UN 1.5 HT;0.7; ;GG FT;0.75;x;;;
BEL1;20/01/2021;18:45;KV Mechelen;Standard Liege;UN 1.5 HT;0.8091;x;;0;;;;;;;
BEL1;20/01/2021;21:00;Antwerp;Cercle Brugge;OV 0.5 HT ;0.75; ;UN 1.5 HT;0.8;x;;;;;;
BEL1;20/01/2021;21:00;Club Brugge;Oostende;UN 1.5 HT;0.8; ;;0;;;;;;;
BRA1;20/01/2021;21:00;Botafogo;Atletico GO;UN 1.5 HT;0.8667;x;;0;;;;;;;
BRA1;20/01/2021;22:00;Bahia;Athletico PR;OV 0.5 HT ;0.7238; ;UN 1.5 HT;0.7286;x;;;;;;
BRA1;20/01/2021;23:15;Gremio;Atletico MG;OV 0.5 HT ;0.8571;x;UN 1.5 HT;0.8214;x;;;;;;
BRA1;20/01/2021;00:30;Coritiba;Fluminense;OV 0.5 HT ;0.7333;x;UN 1.5 HT;0.8333; ;;;;;;
BRA1;20/01/2021;01:30;Bragantino;Vasco da Gama;OV 0.5 HT ;0.7595;x;;0;;;;;;;
BRA2;20/01/2021;20:00;Guarani;Vitoria;OV 0.5 HT ;0.7941;x;;0;;;;;;;
BRA2;20/01/2021;23:15;Nautico;Oeste;UN 1.5 HT;0.7059; ;;0;;;;;;;
BRA2;20/01/2021;01:30;Cruzeiro;Operario PR;UN 2.5 FT;0.7059; ;;0;;;;;;;
SUI1;20/01/2021;18:00;Lugano;BSC Young Boys;UN 1.5 HT;0.75;x;;0;;;;;;;
SUI1;20/01/2021;18:00;St. Gallen;Vaduz;UN 1.5 HT;0.75;x;;0;;;;;;;
GER1;20/01/2021;18:30;Schalke 04;FC Koln;UN 1.5 HT;0.7321;x;;0;;;;;;;
GER1;20/01/2021;20:30;FC Augsburg;Bayern Munich;OV 0.5 HT ;0.875;x;GG FT;0.75; ;;;;;;
GER1;20/01/2021;20:30;Freiburg;E. Frankfurt;OV 0.5 HT ;0.8125;x;;0;;;;;;;
GER3;20/01/2021;19:00;Hallescher;Mannheim;OV 0.5 HT ;0.8333; ;UN 1.5 HT;0.7222;x;UN 2.5 FT;0.7778;x;;;
GER3;20/01/2021;19:00;MSV Duisburg;Magdeburg;UN 1.5 HT;0.8333;x;;0;;;;;;;
GER7;20/01/2021;14:00;Bahlinger;FSV Frankfurt;OV 0.5 HT ;0.75; ;;0;;;;;;;
GER7;20/01/2021;18:00;Stadtallendorf;Steinbach;OV 0.5 HT ;0.7778;x;;0;;;;;;;
GER7;20/01/2021;19:00;Kickers Offenb.;Elversberg;OV 0.5 HT ;0.875; ;;0;;;;;;;
GER7;20/01/2021;19:00;Ulm;Giessen;OV 0.5 HT ;0.7333;x;;0;;;;;;;
ENG1;20/01/2021;19:00;Manchester City;Aston Villa;OV 0.5 HT ;0.875; ;;0;;;;;;;
ENG1;20/01/2021;21:15;Fulham;Manchester Utd;OV 0.5 HT ;0.7222;x;;0;;;;;;;
ENG2;20/01/2021;19:00;Norwich City;Bristol City;UN 1.5 HT;0.7803;x;;0;;;;;;;
ENG2;20/01/2021;20:00;Cardiff City;QP Rangers;OV 0.5 HT ;0.7083; ;;0;;;;;;;
ENG2;20/01/2021;20:00;Huddersfield;Millwall;UN 1.5 HT;0.75;x;;0;;;;;;;
ENG2;20/01/2021;20:00;Nottm Forest;Middlesbrough;OV 0.5 HT ;0.7083;x;UN 1.5 HT;0.7083;x;;;;;;
ENG2;20/01/2021;20:45;Birmingham City;Preston;UN 1.5 HT;0.75;x;;0;;;;;;;
ESP1;20/01/2021;19:00;Getafe;Huesca;OV 0.5 HT ;0.7222; ;UN 1.5 HT;0.7222;x;;;;;;
ESP1;20/01/2021;21:00;Real Betis;Celta Vigo;UN 2.5 FT;0.7569; ;;0;;;;;;;
ESP1;20/01/2021;21:30;Villarreal;Granada;OV 0.5 HT ;0.7639;x;UN 1.5 HT;0.7083; ;;;;;;
FRA1;20/01/2021;21:00;Marseille;Lens;OV 0.5 HT ;0.8333; ;;0;;;;;;;
ITA1;20/01/2021;15:00;Udinese;Atalanta;OV 0.5 HT ;0.8125;x;;0;;;;;;;
ITA3;20/01/2021;15:00;Alessandria;Como;OV 0.5 HT ;0.875;x;GG FT;0.75; ;;;;;;
ITA4;20/01/2021;15:00;Matelica;Carpi;OV 0.5 HT ;0.8571; ;GG FT;0.7857; ;;;;;;
TUR1;20/01/2021;14:00;Hatayspor;Y. Malatyaspor;OV 0.5 HT ;0.7778; ;;0;;;;;;;
TUR1;20/01/2021;14:00;Rizespor;Gaziantep;OV 0.5 HT ;0.8333;x;UN 1.5 HT;0.7778;x;GG FT;0.7778; ;;;
TUR1;20/01/2021;17:00;Galatasaray;Denizlispor;OV 0.5 HT ;0.7778;x;;0;;;;;;;
BEL1;21/01/2021;18:45;Zulte-Waregem;OH Leuven;OV 0.5 HT ;0.7182;x;GG FT;0.7227;x;;;;;;
BEL1;21/01/2021;21:00;KRC Genk;Gent;OV 0.5 HT ;0.8591;x;;0;;;;;;;
BRA1;21/01/2021;23:00;Flamengo;Palmeiras;UN 1.5 HT;0.7619;x;;0;;;;;;;
BRA1;21/01/2021;23:00;Fortaleza;Santos;UN 1.5 HT;0.7238;x;UN 2.5 FT;0.7214;x;;;;;;
BRA1;21/01/2021;23:00;Goias;Ceara;OV 0.5 HT ;0.7333;x;;0;;;;;;;
BRA1;21/01/2021;01:00;Corinthians;Sport Recife;UN 1.5 HT;0.7214;x;;0;;;;;;;
BRA2;21/01/2021;21:45;Chapecoense;Ponte Preta;UN 1.5 HT;0.7647;x;;0;;;;;;;
ENG1;21/01/2021;21:00;Liverpool;Burnley;OV 0.5 HT ;0.7222;;;0;;;;;;;
ESP1;21/01/2021;19:00;Valencia;Osasuna;UN 1.5 HT;0.7222;x;;0;;;;;;;
ESP1;21/01/2021;21:30;Eibar;Atletico Madrid;UN 1.5 HT;0.8889;;UN 2.5 FT;0.746;;NG FT;0.746;;;;
POR1;21/01/2021;21:15;Guimaraes;Nacional;UN 2.5 FT;0.7333;;NG FT;0.8167;;;;;;;
POR2;21/01/2021;19:00;Leixoes;Vilafranquense;OV 0.5 HT ;0.7143;x;;0;;;;;;;
TUR1;21/01/2021;14:00;Erzurum BB;Alanyaspor;UN 1.5 HT;0.8333;x;;0;;;;;;;
TUR1;21/01/2021;14:00;F. Karagumruk;Besiktas;UN 1.5 HT;0.7222;x;GG FT;0.7778;x;;;;;;
TUR1;21/01/2021;17:00;Ankaragucu;Kasimpasa;OV 0.5 HT ;0.7778;x;;0;;;;;;;
AUT1;22/01/2021;19:00;Rapid Wien;Sturm Graz;OV 0.5 HT ;0.8000;x;;;;;;;;;
BEL1;22/01/2021;20:45;Anderlecht;Beveren;OV 0.5 HT ;0.7311;;UN 1.5 HT;0.7841;x;;;;;;
BEL2;22/01/2021;20:00;Lierse Kemp.;Club Brugge B;OV 0.5 HT ;0.8571;x;OV 1.5 HT;0.7857;;;;;;;
BRA2;22/01/2021;01:30;Cuiaba;Sampaio Correa;UN 1.5 HT;0.7500;;;;;;;;;;
SUI2;22/01/2021;20:00;Grasshopper;Lausanne Ouchy;OV 0.5 HT ;0.7143;;UN 1.5 HT;0.7857;x;;;;;;
GER1;22/01/2021;20:30;Monchengladbach;Dortmund;UN 1.5 HT;0.8333;;GG FT;0.7222;x;;;;;;
GER2;22/01/2021;18:30;Dusseldorf;Greuther Furth;OV 0.5 HT ;0.7232;x;;;;;;;;;
GER2;22/01/2021;18:30;Osnabruck;Erzgebirge Aue;OV 0.5 HT ;0.7411;x;UN 1.5 HT;0.7321;x;;;;;;
ENG2;22/01/2021;20:45;Stoke City;Watford;UN 1.5 HT;0.7424;x;UN 2.5 FT;0.7462;;;;;;;
ESP1;22/01/2021;21:00;Levante;Valladolid;OV 0.5 HT ;0.7083;;UN 1.5 HT;0.7014;x;;;;;;
ESP2;22/01/2021;19:00;Fuenlabrada;Alcorcon;UN 1.5 HT;0.9500;x;UN 2.5 FT;0.9500;x;;;;;;
ESP2;22/01/2021;21:00;Albacete;Real Zaragoza;UN 1.5 HT;10.000;x;UN 2.5 FT;0.8000;x;;;;;;
FRA1;22/01/2021;21:00;Paris SG;Montpellier;OV 0.5 HT ;0.7333;x;UN 1.5 HT;0.7444;x;;;;;;
NED2;22/01/2021;18:45;Cambuur;Jong PSV;OV 0.5 HT ;0.8000;x;;;;;;;;;
ITA1;22/01/2021;20:45;Benevento;Torino;OV 0.5 HT ;0.7778;x;;;;;;;;;
ITA2;22/01/2021;21:00;Virtus Entella;Pisa;OV 0.5 HT ;0.8333;x;;;;;;;;;
POR2;22/01/2021;19:00;Oliveirense;Varzim;UN 1.5 HT;0.8661;x;;;;;;;;;
POR2;22/01/2021;21:15;Penafiel;Feirense;OV 0.5 HT ;0.7411;x;UN 1.5 HT;0.7321;;;;;;;
SCO2;22/01/2021;20:45;Arbroath;Dundee FC;OV 0.5 HT ;0.7000;x;;;;;;;;;
AUT1;23/01/2021;17:00;Ried;Austria Wien;OV 0.5 HT ;0.8333;x;;;;;;;;;
AUT1;23/01/2021;17:00;St. Polten;Admira Wacker;OV 0.5 HT ;0.9167;x;;;;;;;;;
AUT1;23/01/2021;17:00;Wolfsberger AC;Hartberg;OV 0.5 HT ;0.8333;;GG FT;0.8333;;;;;;;
BEL1;23/01/2021;16:15;KV Mechelen;Eupen;UN 1.5 HT;0.8712;x;;;;;;;;;
BEL1;23/01/2021;18:30;Kortrijk;Cercle Brugge;UN 1.5 HT;0.7045;;;;;;;;;;
BEL1;23/01/2021;20:45;Antwerp;Oostende;UN 1.5 HT;0.7273;;;;;;;;;;
BEL2;23/01/2021;20:45;Deinze;St. Gilloise;OV 0.5 HT ;0.7321;x;;;;;;;;;
BRA1;23/01/2021;23:00;Sao Paulo;Coritiba;OV 0.5 HT ;0.8000;;;;;;;;;;
BRA1;23/01/2021;01:00;Vasco da Gama;Atletico MG;OV 0.5 HT ;0.8000;x;UN 1.5 HT;0.8667;;;;;;;
BRA2;23/01/2021;20:15;Confianca;America MG;UN 1.5 HT;0.7778;x;UN 2.5 FT;0.7222;x;;;;;;
SUI1;23/01/2021;18:15;Lausanne Sport;Sion;OV 0.5 HT ;0.7143;x;UN 1.5 HT;0.7857;x;;;;;;
SUI2;23/01/2021;18:15;Thun;Schaffhausen;UN 1.5 HT;0.7708;;;;;;;;;;
SUI2;23/01/2021;18:15;Wil;Aarau;UN 1.5 HT;0.8571;x;;;;;;;;;
GER1;23/01/2021;15:30;FC Augsburg;Union Berlin;UN 1.5 HT;0.8194;;;;;;;;;;
GER1;23/01/2021;15:30;Freiburg;Stuttgart;OV 0.5 HT ;0.8889;x;GG FT;0.7222;x;;;;;;
GER1;23/01/2021;15:30;FSV Mainz;RB Leipzig;UN 2.5 FT;0.7083;;;;;;;;;;
GER1;23/01/2021;15:30;Leverkusen;Wolfsburg;X HT;0.7014;;OV 0.5 HT ;0.7083;x;GG FT;0.7708;;;;
GER1;23/01/2021;18:30;Hertha Berlin;Werder Bremen;OV 0.5 HT ;0.7153;x;;;;;;;;;
GER2;23/01/2021;13:00;Braunschweig;Hamburger SV;OV 0.5 HT ;0.7411;x;;;;;;;;;
GER2;23/01/2021;13:00;Karlsruher SC;Heidenheim;OV 0.5 HT ;0.8571;x;;;;;;;;;
GER2;23/01/2021;13:00;Paderborn;Wurzburger K.;OV 0.5 HT ;0.7857;x;UN 1.5 HT;0.7143;x;;;;;;
GER3;23/01/2021;14:00;Hallescher;Magdeburg;UN 1.5 HT;0.7500;x;UN 2.5 FT;0.7000;x;;;;;;
GER3;23/01/2021;14:00;MSV Duisburg;Hansa Rostock;OV 0.5 HT ;0.7944;x;UN 1.5 HT;0.8389;;;;;;;
GER3;23/01/2021;14:00;Unterhaching;Zwickau;OV 0.5 HT ;0.7357;x;;;;;;;;;
GER3;23/01/2021;14:00;Verl;Wehen Wiesbaden;OV 0.5 HT ;0.7389;x;GG FT;0.7333;x;;;;;;
GER3;23/01/2021;14:00;Viktoria Koln;Mannheim;OV 0.5 HT ;0.8000;x;UN 1.5 HT;0.7500;x;UN 2.5 FT;0.8000;;;;
GER6;23/01/2021;14:00;Alemannia A.;Rot Weiss Ahlen;UN 1.5 HT;0.7545;x;;;;;;;;;
GER6;23/01/2021;14:00;Bergisch Gladb.;Preuss. Munster;UN 1.5 HT;0.7500;x;UN 2.5 FT;0.7000;x;;;;;;
GER6;23/01/2021;14:00;Homberg;Dusseldorf B;OV 0.5 HT ;0.7000;x;;;;;;;;;
GER6;23/01/2021;14:00;RW Essen;Bonner SC;OV 0.5 HT ;0.7000;x;;;;;;;;;
GER6;23/01/2021;14:00;Straelen;Fortuna Koln;UN 1.5 HT;0.7389;x;;;;;;;;;
GER6;23/01/2021;14:00;Wuppertaler;Lippstadt;NG FT;0.7500;;;;;;;;;;
GER7;23/01/2021;14:00;Aalen;FSV Mainz B;UN 1.5 HT;0.8750;;;;;;;;;;
GER7;23/01/2021;14:00;Astoria Walld.;Bahlinger;UN 1.5 HT;0.7091;x;;;;;;;;;
GER7;23/01/2021;14:00;Elversberg;Hoffenheim B;OV 0.5 HT ;0.7778;x;;;;;;;;;
GER7;23/01/2021;14:00;FSV Frankfurt;Grossaspach;OV 0.5 HT ;0.8333;;;;;;;;;;
GER7;23/01/2021;14:00;Hessen Kassel;Steinbach;OV 0.5 HT ;0.7333;x;;;;;;;;;
GER7;23/01/2021;14:00;Schott Mainz;Bayern Alzenau;OV 0.5 HT ;0.9500;x;;;;;;;;;
GER7;23/01/2021;14:00;Stadtallendorf;Freiburg B;OV 0.5 HT ;0.8375;x;;;;;;;;;
ENG1;23/01/2021;21:00;Aston Villa;Newcastle Utd;UN 1.5 HT;0.8016;;;;;;;;;;
ENG2;23/01/2021;16:00;QP Rangers;Derby County;UN 1.5 HT;0.7727;x;UN 2.5 FT;0.7273;x;;;;;;
ENG3;23/01/2021;16:00;Charlton;Swindon Town;OV 0.5 HT ;0.8000;x;;;;;;;;;
ENG3;23/01/2021;16:00;Crewe Alexandra;AFC Wimbledon;OV 0.5 HT ;0.7917;x;;;;;;;;;
ENG3;23/01/2021;16:00;Gillingham;Rochdale;OV 0.5 HT ;0.7273;x;;;;;;;;;
ENG3;23/01/2021;16:00;Ipswich Town;Peterborough;UN 1.5 HT;0.8182;x;UN 2.5 FT;0.7273;x;;;;;;
ENG3;23/01/2021;16:00;Lincoln City;Northampton;OV 0.5 HT ;0.7071;;UN 1.5 HT;0.8535;x;;;;;;
ENG3;23/01/2021;16:00;Portsmouth;Hull City;OV 0.5 HT ;0.8182;x;;;;;;;;;
ENG3;23/01/2021;16:00;Sunderland;Shrewsbury;OV 0.5 HT ;0.7273;x;UN 1.5 HT;0.7273;x;;;;;;
ENG4;23/01/2021;14:00;Exeter City;Stevenage;OV 0.5 HT ;0.7591;x;;;;;;;;;
ENG4;23/01/2021;14:00;Scunthorpe;Grimsby;OV 0.5 HT ;0.7386;x;;;;;;;;;
ENG4;23/01/2021;16:00;Morecambe;Colchester Utd;UN 1.5 HT;0.7727;x;;;;;;;;;
ENG4;23/01/2021;16:00;Oldham;Newport;OV 0.5 HT ;0.8333;x;GG FT;0.7083;x;;;;;;
ENG4;23/01/2021;16:00;Port Vale;Walsall;OV 0.5 HT ;0.7462;x;;;;;;;;;
ESP1;23/01/2021;14:00;Huesca;Villarreal;UN 1.5 HT;0.7222;x;UN 2.5 FT;0.7222;x;;;;;;
ESP1;23/01/2021;16:15;FC Sevilla;Cadiz;UN 1.5 HT;0.7083;;UN 2.5 FT;0.7639;;NG FT;0.7014;x;;;
ESP2;23/01/2021;16:00;Rayo Vallecano;Mallorca;UN 1.5 HT;0.7500;;NG FT;0.7000;;;;;;;
ESP2;23/01/2021;18:15;Girona;Espanyol;UN 1.5 HT;0.9000;x;UN 2.5 FT;0.8000;x;NG FT;0.8000;x;;;
ESP2;23/01/2021;18:15;Lugo;Tenerife;UN 1.5 HT;0.8500;x;UN 2.5 FT;0.8500;x;NG FT;0.7500;x;;;
ESP2;23/01/2021;20:30;Malaga;Ponferradina;OV 0.5 HT ;0.7000;x;UN 1.5 HT;0.8000;x;;;;;;
FRA1;23/01/2021;17:00;Lens;Nice;OV 0.5 HT ;0.7222;;;;;;;;;;
FRA1;23/01/2021;21:00;Monaco;Marseille;OV 0.5 HT ;0.7278;x;;;;;;;;;
FRA2;23/01/2021;19:00;Chateauroux;Valenciennes;UN 1.5 HT;0.7333;x;;;;;;;;;
FRA2;23/01/2021;19:00;Grenoble;Chambly;OV 0.5 HT ;0.7778;;UN 1.5 HT;0.7222;x;;;;;;
FRA2;23/01/2021;19:00;Le Havre;Guingamp;UN 1.5 HT;0.9444;x;;;;;;;;;
FRA2;23/01/2021;19:00;Nancy;Niort;OV 0.5 HT ;0.7222;x;;;;;;;;;
FRA2;23/01/2021;19:00;Paris FC;Amiens;UN 1.5 HT;0.7500;;;;;;;;;;
FRA2;23/01/2021;19:00;Pau FC;Troyes;UN 1.5 HT;0.8389;x;;;;;;;;;
FRA2;23/01/2021;19:00;USL Dunkerque;Ajaccio;UN 1.5 HT;0.8500;;UN 2.5 FT;0.8000;;;;;;;
NED1;23/01/2021;16:30;ADO Den Haag;FC Emmen;OV 0.5 HT ;0.8125;;;;;;;;;;
NED1;23/01/2021;18:45;Vitesse Arnhem;FC Groningen;OV 0.5 HT ;0.8125;x;;;;;;;;;
NED1;23/01/2021;20:00;PSV Eindhoven;RKC Waalwijk;OV 0.5 HT ;0.8750;x;;;;;;;;;
NED1;23/01/2021;21:00;Heracles Alemlo;Heerenveen;OV 0.5 HT ;0.8264;;;;;;;;;;
NED2;23/01/2021;14:00;FC Den Bosch;NAC Breda;OV 0.5 HT ;0.7500;x;UN 1.5 HT;0.7000;x;;;;;;
ITA1;23/01/2021;18:00;AC Milan;Atalanta;OV 0.5 HT ;0.8889;x;GG FT;0.7222;;;;;;;
ITA1;23/01/2021;18:00;Udinese;Inter Milan;OV 0.5 HT ;0.7222;;;;;;;;;;
ITA2;23/01/2021;14:00;Ascoli;Chievo;OV 0.5 HT ;0.7083;;UN 1.5 HT;0.8194;x;;;;;;
ITA2;23/01/2021;14:00;Cosenza;Pordenone;UN 1.5 HT;0.9444;x;UN 2.5 FT;0.9444;x;;;;;;
ITA2;23/01/2021;14:00;Frosinone;Reggina;UN 1.5 HT;0.8889;x;;;;;;;;;
ITA2;23/01/2021;14:00;Reggiana;Vicenza;UN 1.5 HT;0.7222;x;;;;;;;;;
ITA2;23/01/2021;14:00;Venezia;Cittadella;OV 0.5 HT ;0.7708;x;;;;;;;;;
ITA2;23/01/2021;16:00;Salernitana;Pescara;UN 1.5 HT;0.7500;;;;;;;;;;
ITA3;23/01/2021;15:00;Novara;Pro Vercelli;GG FT;0.7222;x;;;;;;;;;
ITA3;23/01/2021;17:30;Livorno;AlbinoLeffe;OV 0.5 HT ;0.7222;x;GG FT;0.7222;;;;;;;
ITA4;23/01/2021;15:00;Arezzo;FeralpiSalo;OV 0.5 HT ;0.7750;x;;;;;;;;;
ITA4;23/01/2021;17:30;Imolese;Padova;UN 1.5 HT;0.7889;x;;;;;;;;;
ITA5;23/01/2021;15:00;Monopoli;Juve Stabia;UN 1.5 HT;0.7708;;UN 2.5 FT;0.8264;;;;;;;
ITA5;23/01/2021;17:30;Catanzaro;Potenza;UN 1.5 HT;0.8016;x;;;;;;;;;
SCO1;23/01/2021;16:00;Aberdeen;Motherwell;OV 0.5 HT ;0.8250;x;;;;;;;;;
SCO1;23/01/2021;16:00;Rangers;Ross County;OV 0.5 HT ;0.8258;x;NG FT;0.7879;x;;;;;;
SCO2;23/01/2021;16:00;Dunfermline;Ayr Utd;OV 0.5 HT ;0.7167;;GG FT;0.8167;;;;;;;
SCO2;23/01/2021;16:00;Hearts;Raith Rovers;OV 0.5 HT ;0.8167;x;GG FT;0.7167;x;;;;;;
SCO2;23/01/2021;16:00;Queen of South;Greenock Morton;OV 0.5 HT ;0.7500;x;;;;;;;;;
TUR1;23/01/2021;14:00;Genclerbirligi;Trabzonspor;UN 1.5 HT;0.7222;x;GG FT;0.7222;x;;;;;;
TUR1;23/01/2021;17:00;Basaksehir;Rizespor;OV 0.5 HT ;0.8889;;;;;;;;;;
TUR2;23/01/2021;11:30;Bandirmaspor;Umraniyespor;OV 0.5 HT ;0.8194;x;UN 1.5 HT;0.8194;x;;;;;;
TUR2;23/01/2021;14:00;Eskisehirspor;Osmanlispor;UN 1.5 HT;0.7778;x;;;;;;;;;
TUR2;23/01/2021;17:00;Adana Demirspor;Bursaspor;OV 0.5 HT ;0.7778;;GG FT;0.7222;x;;;;;;
AUT1;24/01/2021;14:30;R. Altach;Salzburg;UN 1.5 HT;0.7500;x;;;;;;;;;
AUT1;24/01/2021;17:00;LASK Linz;WSG Tirol;OV 0.5 HT ;0.8333;x;NG FT;0.8333;;;;;;;
BEL1;24/01/2021;16:00;Zulte-Waregem;Beerschot-Wil.;OV 0.5 HT ;0.8333;;;;;;;;;;
BEL1;24/01/2021;18:15;Standard Liege;Charleroi;OV 0.5 HT ;0.7386;x;;;;;;;;;
BEL1;24/01/2021;20:45;OH Leuven;Gent;OV 0.5 HT ;0.7348;x;;;;;;;;;
BEL2;24/01/2021;16:00;Westerlo;Seraing;OV 0.5 HT ;0.7321;x;;;;;;;;;
BEL2;24/01/2021;20:00;Lommel SK;RWDM;OV 0.5 HT ;0.7857;x;;;;;;;;;
BRA1;24/01/2021;20:00;Athletico PR;Flamengo;UN 1.5 HT;0.7214;;;;;;;;;;
BRA1;24/01/2021;20:00;Ceara;Palmeiras;UN 1.5 HT;0.8667;;;;;;;;;;
BRA1;24/01/2021;20:00;Internacional;Gremio;OV 0.5 HT ;0.7667;;UN 1.5 HT;0.7333;x;;;;;;
BRA1;24/01/2021;22:15;Atletico GO;Fortaleza;OV 0.5 HT ;0.7667;x;UN 1.5 HT;0.8000;x;;;;;;
BRA1;24/01/2021;22:15;Santos;Goias;OV 0.5 HT ;0.8333;x;GG FT;0.7333;x;;;;;;
BRA1;24/01/2021;22:15;Sport Recife;Bahia;OV 0.5 HT ;0.7667;;;;;;;;;;
BRA1;24/01/2021;00:30;Fluminense;Botafogo;OV 0.5 HT ;0.7667;;GG FT;0.7000;;;;;;;
BRA2;24/01/2021;22:15;Ponte Preta;CRB;OV 0.5 HT ;0.8056;x;;;;;;;;;
SUI1;24/01/2021;16:00;St. Gallen;Lugano;UN 1.5 HT;0.7143;x;;;;;;;;;
SUI1;24/01/2021;16:00;Vaduz;BSC Young Boys;UN 1.5 HT;0.7143;x;;;;;;;;;
GER1;24/01/2021;15:30;Schalke 04;Bayern Munich;OV 0.5 HT ;0.8333;x;;;;;;;;;
GER2;24/01/2021;13:30;Darmstadt;Holstein Kiel;UN 1.5 HT;0.7143;x;;;;;;;;;
GER2;24/01/2021;13:30;FC Nurnberg;Hannover 96;OV 0.5 HT ;0.8750;x;UN 1.5 HT;0.7500;;;;;;;
GER2;24/01/2021;13:30;Sandhausen;Bochum;OV 0.5 HT ;0.8661;x;;;;;;;;;
GER2;24/01/2021;13:30;Sankt Pauli;Regensburg;OV 0.5 HT ;0.7143;x;;;;;;;;;
GER3;24/01/2021;14:00;SaarbrÃ¼cken;VfB Lubeck;OV 0.5 HT ;0.7222;;GG FT;0.7222;;;;;;;
GER7;24/01/2021;14:00;Homburg;Balingen;OV 0.5 HT ;0.8175;;;;;;;;;;
GER7;24/01/2021;14:00;Pirmasens;Giessen;UN 1.5 HT;0.8011;x;;;;;;;;;
GER7;24/01/2021;14:00;RW Koblenz;Kickers Offenb.;UN 2.5 FT;0.7125;x;NG FT;0.7625;x;;;;;;
GER7;24/01/2021;14:00;VfB Stuttgart B;Ulm;UN 1.5 HT;0.7708;x;;;;;;;;;
ENG2;24/01/2021;13:30;Preston;Reading;UN 1.5 HT;0.7500;x;;;;;;;;;
ENG2;24/01/2021;16:00;Middlesbrough;Blackburn;UN 1.5 HT;0.7879;x;;;;;;;;;
ESP1;24/01/2021;14:00;Osasuna;Granada;UN 1.5 HT;0.7222;;;;;;;;;;
ESP1;24/01/2021;16:15;Elche;FC Barcelona;OV 0.5 HT ;0.8333;x;;;;;;;;;
ESP1;24/01/2021;18:30;Celta Vigo;Eibar;OV 0.5 HT ;0.7778;x;;;;;;;;;
ESP2;24/01/2021;14:00;Almeria;Sabadell;UN 1.5 HT;0.8000;x;;;;;;;;;
ESP2;24/01/2021;16:00;Logrones;Real Oviedo;UN 1.5 HT;0.8000;x;;;;;;;;;
ESP2;24/01/2021;18:15;Castellon;Sporting Gijon;UN 1.5 HT;0.9000;x;UN 2.5 FT;0.7500;x;NG FT;0.8000;x;;;
ESP2;24/01/2021;20:30;Las Palmas;Leganes;UN 1.5 HT;0.8500;x;;;;;;;;;
FRA1;24/01/2021;15:00;Dijon;Strasbourg;OV 0.5 HT ;0.7500;;UN 1.5 HT;0.7500;x;NG FT;0.7000;;;;
FRA1;24/01/2021;15:00;Metz;Nantes;OV 0.5 HT ;0.8500;x;UN 1.5 HT;0.7000;x;;;;;;
FRA1;24/01/2021;15:00;Reims;Brest;OV 0.5 HT ;0.7333;x;;;;;;;;;
FRA1;24/01/2021;17:00;Rennes;Lille;OV 0.5 HT ;0.7889;x;UN 1.5 HT;0.8444;x;;;;;;
FRA1;24/01/2021;21:00;Saint-Etienne;Lyon;OV 0.5 HT ;0.7389;x;;;;;;;;;
NED1;24/01/2021;14:30;FC Twente;VVV;OV 0.5 HT ;0.9444;;GG FT;0.7708;;;;;;;
NED1;24/01/2021;14:30;FC Utrecht;Sparta;UN 1.5 HT;0.7708;x;;;;;;;;;
ITA1;24/01/2021;15:00;Genoa;Cagliari;GG FT;0.7222;;;;;;;;;;
ITA1;24/01/2021;15:00;Hellas Verona;Napoli;OV 0.5 HT ;0.7083;x;UN 1.5 HT;0.8264;;;;;;;
ITA1;24/01/2021;18:00;Lazio;Sassuolo;OV 0.5 HT ;0.7778;x;GG FT;0.7222;x;;;;;;
ITA1;24/01/2021;20:45;Parma;Sampdoria;UN 1.5 HT;0.8333;;;;;;;;;;
ITA2;24/01/2021;15:00;Lecce;Empoli;OV 0.5 HT ;0.8333;x;;;;;;;;;
ITA2;24/01/2021;21:00;Cremonese;SPAL;UN 1.5 HT;0.7222;x;;;;;;;;;
ITA3;24/01/2021;15:00;Alessandria;Pistoiese;UN 1.5 HT;0.7778;x;;;;;;;;;
ITA3;24/01/2021;15:00;Giana Erminio;Lecco;OV 0.5 HT ;0.7333;x;;;;;;;;;
ITA3;24/01/2021;15:00;Grosseto;Piacenza;UN 1.5 HT;0.7889;x;UN 2.5 FT;0.7333;;;;;;;
ITA3;24/01/2021;15:00;Pergolettese;Lucchese;OV 0.5 HT ;0.7389;;;;;;;;;;
