Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL1,Oostende,Charleroi,3,2,H,1,1,D
BEL1,KV Mechelen,Antwerp,3,0,H,0,0,D
BEL1,Beerschot-Wil.,Gent,1,1,D,1,1,D
BEL1,OH Leuven,Anderlecht,1,0,H,0,0,D
BEL1,Sint-Truiden,Club Brugge,1,2,A,0,2,A
BEL1,Standard Liege,Beveren,3,1,H,1,0,H
BEL1,Oostende,Eupen,1,1,D,0,0,D
BEL1,Beerschot-Wil.,Cercle Brugge,1,1,D,1,0,H
BEL1,Eupen,Anderlecht,2,0,H,0,0,D
BEL1,Oostende,Kortrijk,2,1,H,1,0,H
BEL1,Beveren,Zulte-Waregem,1,5,A,0,2,A
BEL1,Mouscron,KRC Genk,2,0,H,1,0,H
BEL1,Charleroi,KV Mechelen,0,1,A,0,0,D
BEL1,Gent,Antwerp,0,1,A,0,0,D
BEL1,Cercle Brugge,Standard Liege,0,1,A,0,1,A
BEL1,Beerschot-Wil.,Club Brugge,0,3,A,0,2,A
BEL1,Sint-Truiden,OH Leuven,3,1,H,2,1,H
BEL1,Mouscron,Beveren,1,1,D,0,0,D
BEL1,Anderlecht,Charleroi,3,0,H,2,0,H
BEL1,Kortrijk,Sint-Truiden,0,2,A,0,2,A
BEL1,Eupen,Beerschot-Wil.,3,1,H,2,1,H
BEL1,KV Mechelen,Standard Liege,0,4,A,0,1,A
BEL1,Antwerp,Cercle Brugge,1,0,H,0,0,D
BEL1,Club Brugge,Oostende,2,1,H,1,1,D
BEL1,Zulte-Waregem,OH Leuven,2,3,A,2,1,H
BEL1,KRC Genk,Gent,1,1,D,1,1,D
BEL1,Anderlecht,Beveren,0,0,D,0,0,D
BEL1,KV Mechelen,Eupen,3,0,H,1,0,H
BEL1,Kortrijk,Cercle Brugge,1,2,A,1,2,A
BEL1,Sint-Truiden,Mouscron,0,2,A,0,1,A
BEL1,Antwerp,Oostende,1,2,A,1,1,D
BEL1,Club Brugge,KRC Genk,3,2,H,1,2,A
BEL1,Zulte-Waregem,Beerschot-Wil.,0,3,A,0,0,D
BEL1,Standard Liege,Charleroi,3,2,H,2,1,H
BEL1,OH Leuven,Gent,0,3,A,0,1,A
BEL1,Beveren,KV Mechelen,2,3,A,0,2,A
BEL1,Eupen,Antwerp,0,2,A,0,2,A
BEL1,Mouscron,Anderlecht,1,1,D,1,0,H
BEL1,Beerschot-Wil.,Kortrijk,0,0,D,0,0,D
BEL1,KRC Genk,Zulte-Waregem,3,2,H,1,0,H
BEL1,Charleroi,OH Leuven,1,1,D,0,1,A
BEL1,Gent,Sint-Truiden,1,1,D,0,1,A
BEL1,Cercle Brugge,Club Brugge,1,2,A,1,1,D
BEL1,Oostende,Standard Liege,2,2,D,1,0,H
BEL1,Antwerp,Beveren,3,2,H,1,1,D
BEL1,KV Mechelen,KRC Genk,0,0,D,0,0,D
BEL1,Eupen,Mouscron,1,1,D,1,0,H
BEL1,OH Leuven,Beerschot-Wil.,0,1,A,0,0,D
BEL1,Kortrijk,Charleroi,1,3,A,0,1,A
BEL1,Club Brugge,Standard Liege,3,1,H,2,1,H
BEL1,Zulte-Waregem,Oostende,2,1,H,1,1,D
BEL1,Anderlecht,Gent,0,0,D,0,0,D
BEL1,Sint-Truiden,Cercle Brugge,3,0,H,1,0,H
BEL1,Mouscron,Kortrijk,0,3,A,0,2,A
BEL1,Oostende,Sint-Truiden,3,1,H,1,0,H
BEL1,Beveren,Club Brugge,0,2,A,0,1,A
BEL1,Cercle Brugge,KV Mechelen,0,1,A,0,0,D
BEL1,Standard Liege,OH Leuven,1,1,D,0,0,D
BEL1,Beerschot-Wil.,Antwerp,1,2,A,0,0,D
BEL1,Charleroi,Zulte-Waregem,1,1,D,1,0,H
BEL1,KRC Genk,Anderlecht,1,2,A,1,2,A
BEL1,Gent,Eupen,2,2,D,2,1,H
BEL1,OH Leuven,Kortrijk,3,1,H,3,0,H
